Node_A,Node_B,
SM971    ,SM969    ,
SM971    ,SM953    ,
SM953    ,SM952    ,
SM953    ,SM937    ,
SM937    ,SM952    ,
SM937    ,SM936    ,
SM936    ,SM952    ,
SM952    ,SM969    ,
SM936    ,SM917    ,
SM408    ,SM400    ,
SM400    ,SM393    ,
SM393    ,SM387    ,
SM387    ,SM381    ,
SM381    ,SM376    ,
SM376    ,SM370    ,
SM376    ,SM375    ,
SM370    ,SM365    ,
SM365    ,SM359    ,
SM359    ,SM353    ,
SM359    ,SM357    ,
SM357    ,SM352    ,
SM352    ,SM353    ,
SM352    ,SM347    ,
SM19     ,SM21     ,
SM21     ,SM23     ,
SM333    ,SM340    ,
SM333    ,SM335    ,
SM333    ,SM326    ,
SM326    ,SM328    ,
SM326    ,SM320    ,
SM320    ,SM321    ,
SM320    ,SM314    ,
SM314    ,SM315    ,
SM314    ,SM306    ,
SM306    ,SM309    ,
SM306    ,SM301    ,
SM278    ,SM286    ,
SM278    ,SM280    ,
SM274    ,SM280    ,
SM274    ,SM265    ,
SM265    ,SM257    ,
SM257    ,SM254    ,
SM257    ,SM256    ,
SM256    ,SM252    ,
SM252    ,SM254    ,
SM252    ,SM248    ,
SM248    ,SM250    ,
SM248    ,SM245    ,
SM108    ,SM117    ,
SM108    ,SM104    ,
SM104    ,SM100    ,
SM105    ,SM107    ,
SM107    ,SM112    ,
SM117    ,SM127    ,
SM127    ,SM145    ,
SM145    ,SM155    ,
SM145    ,SM151    ,
SM151    ,SM165    ,
SM2364   ,SM2277   ,
SM2277   ,SM2195   ,
SM2200   ,SM2195   ,
SM2195   ,SM2130   ,
SM2130   ,SM2080   ,
SM2083   ,SM2080   ,
SM2080   ,SM2030   ,
SM227    ,SM224    ,
SM227    ,SM225    ,
SM227    ,SM230    ,
SM230    ,SM229    ,
SM230    ,SM234    ,
SM234    ,SM232    ,
SM236    ,SM232    ,
SM236    ,SM239    ,
SM239    ,SM242    ,
SM168    ,SM193    ,
SM168    ,SM177    ,
SM168    ,SM155    ,
SM155    ,SM165    ,
SM165    ,SM177    ,
SM177    ,SM197    ,
SM197    ,SM193    ,
SM197    ,SM207    ,
SM207    ,SM202    ,
SM207    ,SM220    ,
SM220    ,SM215    ,
SM220    ,SM224    ,
SM224    ,SM222    ,
SM225    ,SM222    ,
SM225    ,SM229    ,
SM229    ,SM232    ,
SM215    ,SM222    ,
SM215    ,SM202    ,
SM202    ,SM193    ,
SM242    ,SM245    ,
SM245    ,SM246    ,
SM246    ,SM250    ,
SM1677   ,SM1650   ,
SM1650   ,SM1628   ,
SM1629   ,SM1628   ,
SM1629   ,SM1607   ,
SM1607   ,SM1606   ,
